modGenes	module	colourRGB
ENSBTAG00000007910	turquoise	#40E0D0
ENSBTAG00000007913	salmon	#FA8072
ENSBTAG00000007920	darkgrey	#A9A9A9
ENSBTAG00000007921	green	#00FF00
ENSBTAG00000007922	turquoise	#40E0D0
ENSBTAG00000007923	pink	#FFC0CB
ENSBTAG00000007927	green	#00FF00
ENSBTAG00000007930	royalblue	#4169E1
ENSBTAG00000007932	salmon	#FA8072
ENSBTAG00000007935	pink	#FFC0CB
ENSBTAG00000007942	skyblue	#87CEEB
ENSBTAG00000007943	purple	#A020F0
ENSBTAG00000007952	turquoise	#40E0D0
ENSBTAG00000007953	magenta	#FF00FF
ENSBTAG00000007960	pink	#FFC0CB
ENSBTAG00000007961	turquoise	#40E0D0
ENSBTAG00000007963	magenta	#FF00FF
ENSBTAG00000007964	pink	#FFC0CB
ENSBTAG00000007966	turquoise	#40E0D0
ENSBTAG00000007968	brown	#A52A2A
ENSBTAG00000007974	midnightblue	#191970
ENSBTAG00000007976	magenta	#FF00FF
ENSBTAG00000007977	lightcyan	#E0FFFF
ENSBTAG00000007979	black	#000000
ENSBTAG00000007981	yellow	#FFFF00
ENSBTAG00000007986	turquoise	#40E0D0
ENSBTAG00000007988	turquoise	#40E0D0
ENSBTAG00000007993	salmon	#FA8072
ENSBTAG00000007998	turquoise	#40E0D0
ENSBTAG00000008001	purple	#A020F0
ENSBTAG00000008003	darkgrey	#A9A9A9
ENSBTAG00000008004	yellow	#FFFF00
ENSBTAG00000008006	yellow	#FFFF00
ENSBTAG00000008008	blue	#0000FF
ENSBTAG00000008010	turquoise	#40E0D0
ENSBTAG00000008014	turquoise	#40E0D0
ENSBTAG00000008016	black	#000000
ENSBTAG00000008023	blue	#0000FF
ENSBTAG00000008024	turquoise	#40E0D0
ENSBTAG00000008025	darkturquoise	#00CED1
ENSBTAG00000008032	turquoise	#40E0D0
ENSBTAG00000008033	purple	#A020F0
ENSBTAG00000008034	brown	#A52A2A
ENSBTAG00000008048	skyblue	#87CEEB
ENSBTAG00000008053	black	#000000
ENSBTAG00000008054	brown	#A52A2A
ENSBTAG00000008056	red	#FF0000
ENSBTAG00000008057	green	#00FF00
ENSBTAG00000008060	pink	#FFC0CB
ENSBTAG00000008062	lightcyan	#E0FFFF
ENSBTAG00000008063	turquoise	#40E0D0
ENSBTAG00000008065	turquoise	#40E0D0
ENSBTAG00000008072	darkgreen	#006400
ENSBTAG00000008077	turquoise	#40E0D0
ENSBTAG00000008082	tan	#D2B48C
ENSBTAG00000008083	purple	#A020F0
ENSBTAG00000008084	black	#000000
ENSBTAG00000008089	salmon	#FA8072
ENSBTAG00000008090	magenta	#FF00FF
ENSBTAG00000008099	turquoise	#40E0D0
ENSBTAG00000008105	turquoise	#40E0D0
